n,instance,origin,fragments,cut_samples,method,baseline_cost,cost,improvement_pct
50,0,raw,4,64,single_random_fixed_mean,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,64,best_random_fixed,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,64,best_random_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,64,longest_fixed,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,64,longest_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,64,best_combined_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,single_random_fixed_mean,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,best_random_fixed,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,best_random_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,longest_fixed,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,longest_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,64,best_combined_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,two_opt,4,64,single_random_fixed_mean,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,64,best_random_fixed,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,64,best_random_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,64,longest_fixed,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,64,longest_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,64,best_combined_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,single_random_fixed_mean,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,best_random_fixed,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,best_random_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,longest_fixed,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,longest_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,64,best_combined_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,1,raw,4,64,single_random_fixed_mean,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,64,best_random_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,64,best_random_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,64,longest_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,64,longest_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,64,best_combined_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,single_random_fixed_mean,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,best_random_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,best_random_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,longest_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,longest_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,64,best_combined_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,single_random_fixed_mean,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,best_random_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,best_random_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,longest_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,longest_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,4,64,best_combined_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,single_random_fixed_mean,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,best_random_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,best_random_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,longest_fixed,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,longest_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,two_opt,8,64,best_combined_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,2,raw,4,64,single_random_fixed_mean,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,64,best_random_fixed,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,64,best_random_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,64,longest_fixed,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,64,longest_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,4,64,best_combined_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,single_random_fixed_mean,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,best_random_fixed,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,best_random_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,longest_fixed,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,longest_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,raw,8,64,best_combined_reversible,5.552214622497559,5.552214992232621,-6.659235769168207e-06
50,2,two_opt,4,64,single_random_fixed_mean,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,64,best_random_fixed,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,64,best_random_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,64,longest_fixed,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,64,longest_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,4,64,best_combined_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,single_random_fixed_mean,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,best_random_fixed,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,best_random_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,longest_fixed,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,longest_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,2,two_opt,8,64,best_combined_reversible,5.536808013916016,5.5368080558255315,-7.569255743085664e-07
50,3,raw,4,64,single_random_fixed_mean,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,64,best_random_fixed,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,64,best_random_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,64,longest_fixed,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,64,longest_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,4,64,best_combined_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,64,single_random_fixed_mean,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,64,best_random_fixed,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,64,best_random_reversible,5.57831335067749,5.575554384849966,0.04945878178732257
50,3,raw,8,64,longest_fixed,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,64,longest_reversible,5.57831335067749,5.578312977217138,6.694861492057449e-06
50,3,raw,8,64,best_combined_reversible,5.57831335067749,5.575554384849966,0.04945878178732257
