n,instance,origin,destruction,fragments,method,baseline_cost,cost,improvement_pct
50,0,raw,longest,4,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,4,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,4,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,4,greedy_pair,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,4,random_mean,5.743530750274658,7.155526014044881,-24.584098617434936
50,0,raw,longest,4,random_best,5.743530750274658,6.720064340159297,-17.00232195741166
50,0,raw,longest,4,model_route,5.743530750274658,6.9793841522186995,-21.51731148797179
50,0,raw,longest,4,model_learned,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,8,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,8,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,8,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,8,greedy_pair,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,8,random_mean,5.743530750274658,8.86167510971427,-54.28967816165171
50,0,raw,longest,8,random_best,5.743530750274658,7.777919230982661,-35.42052039350042
50,0,raw,longest,8,model_route,5.743530750274658,7.123603222891688,-24.0282943127106
50,0,raw,longest,8,model_learned,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,12,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,12,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,12,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,longest,12,greedy_pair,5.743530750274658,7.081554612144828,-23.29619044533164
50,0,raw,longest,12,random_mean,5.743530750274658,10.261428612284362,-78.66063678328275
50,0,raw,longest,12,random_best,5.743530750274658,9.391337065026164,-63.511565853061136
50,0,raw,longest,12,model_route,5.743530750274658,6.252507774159312,-8.86174456122333
50,0,raw,longest,12,model_learned,5.743530750274658,5.87767974846065,-2.3356538689999558
50,0,two_opt,longest,4,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,4,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,4,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,4,greedy_pair,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,4,random_mean,5.741904258728027,7.153899734839797,-24.59106617748728
50,0,two_opt,longest,4,random_best,5.741904258728027,6.718438060954213,-17.007141850925116
50,0,two_opt,longest,4,model_route,5.741904258728027,6.977757873013616,-21.52341032867309
50,0,two_opt,longest,4,model_learned,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,8,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,8,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,longest,8,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
