n,instance,origin,fragments,method,baseline_cost,cost,improvement_pct
50,0,raw,4,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,greedy_pair,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,4,random_mean,5.743530750274658,7.221911534667015,-25.73992982141969
50,0,raw,4,random_best,5.743530750274658,6.877377333119512,-19.741281663559167
50,0,raw,4,model_route,5.743530750274658,7.106097673997283,-23.723507071977743
50,0,raw,4,model_learned,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,greedy_pair,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,8,random_mean,5.743530750274658,8.260605335235596,-43.82451656310136
50,0,raw,8,random_best,5.743530750274658,6.746728641912341,-17.466571265239757
50,0,raw,8,model_route,5.743530750274658,6.676396204158664,-16.24202070894102
50,0,raw,8,model_learned,5.743530750274658,6.714145286008716,-16.899265938249606
50,0,raw,12,original_order,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,12,exact_fixed_orientation,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,12,exact_reversible,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,12,greedy_pair,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,raw,12,random_mean,5.743530750274658,10.487086442764848,-82.58954115050835
50,0,raw,12,random_best,5.743530750274658,10.163018498569727,-76.94722881188939
50,0,raw,12,model_route,5.743530750274658,7.0529913399368525,-22.798878365882786
50,0,raw,12,model_learned,5.743530750274658,5.7435302417725325,8.853476160386788e-06
50,0,two_opt,4,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,greedy_pair,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,4,random_mean,5.741904258728027,7.220285255461931,-25.747224790219708
50,0,two_opt,4,random_best,5.741904258728027,6.875751053914428,-19.74687741375847
50,0,two_opt,4,model_route,5.741904258728027,7.104471394792199,-23.730230854911778
50,0,two_opt,4,model_learned,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,greedy_pair,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,8,random_mean,5.741904258728027,8.258979056030512,-43.83693429712599
50,0,two_opt,8,random_best,5.741904258728027,6.745102362707257,-17.471522665225752
50,0,two_opt,8,model_route,5.741904258728027,6.67476992495358,-16.246625234259916
50,0,two_opt,8,model_learned,5.741904258728027,6.712519006803632,-16.904056639401706
50,0,two_opt,12,original_order,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,12,exact_fixed_orientation,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,12,exact_reversible,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,12,greedy_pair,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,0,two_opt,12,random_mean,5.741904258728027,10.480790948029608,-82.53162149296024
50,0,two_opt,12,random_best,5.741904258728027,10.156355045735836,-76.88130258002104
50,0,two_opt,12,model_route,5.741904258728027,7.051365060731769,-22.80534023208912
50,0,two_opt,12,model_learned,5.741904258728027,5.741903962567449,5.1578808245982315e-06
50,1,raw,4,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,random_mean,5.46506929397583,7.047471630270593,-28.954844873404475
50,1,raw,4,random_best,5.46506929397583,6.597680528182536,-20.72455394948402
50,1,raw,4,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,4,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,greedy_pair,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,random_mean,5.46506929397583,8.535408639465459,-56.18116039030058
50,1,raw,8,random_best,5.46506929397583,7.486296198796481,-36.984469841007474
50,1,raw,8,model_route,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,8,model_learned,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,12,original_order,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,12,exact_fixed_orientation,5.46506929397583,5.465068988036364,5.5980894166963834e-06
50,1,raw,12,exact_reversible,5.46506929397583,5.465068988036364,5.5980894166963834e-06
