n,instance,method,cost,source_deviations,endpoint_deviations
20,0,route,3.9859278202056885,7,0
20,0,source_once,3.9859278202056885,7,0
20,0,source_repeated,3.9859278202056885,7,0
20,0,endpoint_once,3.9859278202056885,7,0
20,0,endpoint_repeated,3.9859278202056885,7,0
20,1,route,3.837382510304451,4,0
20,1,source_once,3.837382510304451,4,0
20,1,source_repeated,3.837382510304451,4,0
20,1,endpoint_once,3.837382510304451,4,0
20,1,endpoint_repeated,3.837382510304451,4,0
20,2,route,4.518050443381071,2,1
20,2,source_once,4.054965283721685,2,1
20,2,source_repeated,4.054965283721685,2,1
20,2,endpoint_once,4.054965283721685,2,1
20,2,endpoint_repeated,4.054965283721685,2,1
20,3,route,4.466534540057182,6,1
20,3,source_once,3.810851775109768,6,1
20,3,source_repeated,3.810851775109768,6,1
20,3,endpoint_once,4.466534540057182,6,1
20,3,endpoint_repeated,4.163336984813213,6,1
20,4,route,3.908138133585453,6,1
20,4,source_once,3.8290164843201637,6,1
20,4,source_repeated,3.8290164843201637,6,1
20,4,endpoint_once,3.908138133585453,6,1
20,4,endpoint_repeated,3.8290164843201637,6,1
20,5,route,4.444736272096634,7,0
20,5,source_once,4.444736272096634,7,0
20,5,source_repeated,4.444736272096634,7,0
20,5,endpoint_once,4.444736272096634,7,0
20,5,endpoint_repeated,4.444736272096634,7,0
20,6,route,5.047674678266048,3,2
20,6,source_once,4.71733146160841,3,2
20,6,source_repeated,4.71733146160841,3,2
20,6,endpoint_once,5.047674678266048,3,2
20,6,endpoint_repeated,4.678555436432362,3,2
20,7,route,4.045183427631855,7,0
20,7,source_once,4.045183427631855,7,0
20,7,source_repeated,4.045183427631855,7,0
20,7,endpoint_once,4.045183427631855,7,0
20,7,endpoint_repeated,4.045183427631855,7,0
20,8,route,4.081528784707189,6,3
20,8,source_once,3.831841530278325,6,3
20,8,source_repeated,3.831841530278325,6,3
20,8,endpoint_once,4.009903656318784,6,3
20,8,endpoint_repeated,3.961239093914628,6,3
20,9,route,3.765520714223385,7,1
20,9,source_once,3.746906340122223,7,1
20,9,source_repeated,3.746906340122223,7,1
20,9,endpoint_once,3.765520714223385,7,1
20,9,endpoint_repeated,3.7301206588745117,7,1
20,10,route,4.548668507486582,2,2
20,10,source_once,4.3492530062794685,2,2
20,10,source_repeated,4.3492530062794685,2,2
20,10,endpoint_once,4.382221631705761,2,2
20,10,endpoint_repeated,4.3492530062794685,2,2
20,11,route,3.7543979547917843,7,0
20,11,source_once,3.7543979547917843,7,0
20,11,source_repeated,3.7543979547917843,7,0
20,11,endpoint_once,3.7543979547917843,7,0
20,11,endpoint_repeated,3.7543979547917843,7,0
20,12,route,3.825928196310997,4,1
20,12,source_once,3.682769350707531,4,1
20,12,source_repeated,3.682769350707531,4,1
20,12,endpoint_once,3.670968219637871,4,1
20,12,endpoint_repeated,3.670968219637871,4,1
20,13,route,3.7956818593665957,7,0
20,13,source_once,3.7956818593665957,7,0
20,13,source_repeated,3.7956818593665957,7,0
20,13,endpoint_once,3.7956818593665957,7,0
20,13,endpoint_repeated,3.7956818593665957,7,0
20,14,route,4.55255289748311,7,1
20,14,source_once,4.492445144802332,7,1
20,14,source_repeated,4.492445144802332,7,1
20,14,endpoint_once,4.492445144802332,7,1
20,14,endpoint_repeated,4.492445144802332,7,1
20,15,route,4.140771023929119,8,0
20,15,source_once,4.140771023929119,8,0
20,15,source_repeated,4.140771023929119,8,0
20,15,endpoint_once,4.140771023929119,8,0
20,15,endpoint_repeated,4.140771023929119,8,0
20,16,route,4.332461416721344,6,1
20,16,source_once,4.332461416721344,6,1
20,16,source_repeated,4.332461416721344,6,1
20,16,endpoint_once,4.332461416721344,6,1
20,16,endpoint_repeated,4.312015503644943,6,1
20,17,route,3.6860030125826597,5,0
20,17,source_once,3.6860030125826597,5,0
20,17,source_repeated,3.6860030125826597,5,0
20,17,endpoint_once,3.6860030125826597,5,0
20,17,endpoint_repeated,3.6860030125826597,5,0
20,18,route,4.670729621313512,5,1
20,18,source_once,4.379212914966047,5,1
20,18,source_repeated,4.379212914966047,5,1
20,18,endpoint_once,4.670729621313512,5,1
20,18,endpoint_repeated,4.504514723084867,5,1
20,19,route,4.1936691384762526,8,1
