instance,stage,method,cost
0,20,route,6.218013963662088
0,20,source_once,6.217040351592004
0,20,endpoint_once,6.218013963662088
0,30,route,6.218013963662088
0,30,source_once,6.19435693975538
0,30,endpoint_once,6.218013963662088
1,20,route,5.769198086112738
1,20,source_once,5.769198086112738
1,20,endpoint_once,5.769198086112738
1,30,route,5.769198086112738
1,30,source_once,5.7091699205338955
1,30,endpoint_once,5.769198086112738
2,20,route,5.896497569978237
2,20,source_once,5.896497569978237
2,20,endpoint_once,5.896497569978237
2,30,route,5.896497569978237
2,30,source_once,5.896497569978237
2,30,endpoint_once,5.896497569978237
3,20,route,6.036953939124942
3,20,source_once,6.001169553026557
3,20,endpoint_once,6.036953939124942
3,30,route,6.036953939124942
3,30,source_once,6.001169553026557
3,30,endpoint_once,6.036953939124942
4,20,route,5.863105313852429
4,20,source_once,5.863105313852429
4,20,endpoint_once,5.863105313852429
4,30,route,5.863105313852429
4,30,source_once,5.831987189128995
4,30,endpoint_once,5.863105313852429
5,20,route,5.75677365064621
5,20,source_once,5.75677365064621
5,20,endpoint_once,5.75677365064621
5,30,route,5.75677365064621
5,30,source_once,5.737749055027962
5,30,endpoint_once,5.735452614724636
6,20,route,5.96340949088335
6,20,source_once,5.96340949088335
6,20,endpoint_once,5.96340949088335
6,30,route,5.96340949088335
6,30,source_once,5.96340949088335
6,30,endpoint_once,5.96340949088335
7,20,route,6.0149647779762745
7,20,source_once,6.0149647779762745
7,20,endpoint_once,6.0149647779762745
7,30,route,6.0149647779762745
7,30,source_once,6.0149647779762745
7,30,endpoint_once,6.0149647779762745
8,20,route,6.382774932309985
8,20,source_once,6.24208421818912
8,20,endpoint_once,6.382774932309985
8,30,route,6.382774932309985
8,30,source_once,6.172042844817042
8,30,endpoint_once,6.382774932309985
9,20,route,5.499591335654259
9,20,source_once,5.499591335654259
9,20,endpoint_once,5.499591335654259
9,30,route,5.499591335654259
9,30,source_once,5.497685335576534
9,30,endpoint_once,5.499591335654259
10,20,route,6.004923332482576
10,20,source_once,5.764488812536001
10,20,endpoint_once,5.931088861078024
10,30,route,6.004923332482576
10,30,source_once,5.761465262621641
10,30,endpoint_once,6.004923332482576
11,20,route,5.243185495957732
11,20,source_once,5.201866580173373
11,20,endpoint_once,5.201866580173373
11,30,route,5.243185495957732
11,30,source_once,5.201866580173373
11,30,endpoint_once,5.243185495957732
12,20,route,5.9166437070816755
12,20,source_once,5.9166437070816755
12,20,endpoint_once,5.9166437070816755
12,30,route,5.9166437070816755
12,30,source_once,5.857378544285893
12,30,endpoint_once,5.9166437070816755
13,20,route,6.649965059943497
13,20,source_once,5.638742101378739
13,20,endpoint_once,5.66303635109216
13,30,route,6.649965059943497
13,30,source_once,5.638742101378739
13,30,endpoint_once,6.112282549031079
14,20,route,5.3571185492910445
14,20,source_once,5.3571185492910445
14,20,endpoint_once,5.3571185492910445
14,30,route,5.3571185492910445
14,30,source_once,5.3571185492910445
14,30,endpoint_once,5.3571185492910445
15,20,route,5.661749067250639
15,20,source_once,5.661749067250639
15,20,endpoint_once,5.661749067250639
15,30,route,5.661749067250639
15,30,source_once,5.607274169567972
15,30,endpoint_once,5.661749067250639
16,20,route,5.72804534714669
16,20,source_once,5.717930753715336
16,20,endpoint_once,5.716704453341663
16,30,route,5.72804534714669
16,30,source_once,5.716704453341663
16,30,endpoint_once,5.72804534714669
17,20,route,5.612938895821571
17,20,source_once,5.612938895821571
17,20,endpoint_once,5.612938895821571
17,30,route,5.612938895821571
17,30,source_once,5.612938895821571
17,30,endpoint_once,5.612938895821571
18,20,route,5.809258456341922
18,20,source_once,5.809258456341922
18,20,endpoint_once,5.809258456341922
18,30,route,5.809258456341922
18,30,source_once,5.809258456341922
18,30,endpoint_once,5.809258456341922
19,20,route,5.574154986999929
19,20,source_once,5.574154986999929
19,20,endpoint_once,5.565343379043043
19,30,route,5.574154986999929
19,30,source_once,5.458759038709104
19,30,endpoint_once,5.574154986999929
20,20,route,6.031202709302306
20,20,source_once,6.029847988858819
20,20,endpoint_once,6.031202709302306
20,30,route,6.031202709302306
20,30,source_once,6.004732729867101
20,30,endpoint_once,6.031202709302306
21,20,route,5.826739287003875
21,20,source_once,5.826739287003875
21,20,endpoint_once,5.826739287003875
21,30,route,5.826739287003875
21,30,source_once,5.826739287003875
21,30,endpoint_once,5.826739287003875
22,20,route,5.774594833143055
22,20,source_once,5.774594833143055
22,20,endpoint_once,5.774594833143055
22,30,route,5.774594833143055
22,30,source_once,5.774594833143055
22,30,endpoint_once,5.774594833143055
23,20,route,5.82524333987385
23,20,source_once,5.817626387812197
23,20,endpoint_once,5.82524333987385
23,30,route,5.82524333987385
23,30,source_once,5.817626387812197
23,30,endpoint_once,5.82524333987385
24,20,route,5.784197822213173
24,20,source_once,5.784197822213173
24,20,endpoint_once,5.784197822213173
24,30,route,5.784197822213173
24,30,source_once,5.784197822213173
24,30,endpoint_once,5.784197822213173
25,20,route,5.834139631129801
25,20,source_once,5.834139631129801
25,20,endpoint_once,5.834139631129801
25,30,route,5.834139631129801
25,30,source_once,5.834139631129801
25,30,endpoint_once,5.834139631129801
