instance,stage,method,cost
0,4,route,6.218013963662088
0,4,source_once,6.217040351592004
0,4,endpoint_once,6.217040351592004
0,6,route,6.218013963662088
0,6,source_once,6.218013963662088
0,6,endpoint_once,6.218013963662088
0,8,route,6.218013963662088
0,8,source_once,6.218013963662088
0,8,endpoint_once,6.218013963662088
0,10,route,6.218013963662088
0,10,source_once,6.218013963662088
0,10,endpoint_once,6.218013963662088
0,15,route,6.218013963662088
0,15,source_once,6.217040351592004
0,15,endpoint_once,6.218013963662088
0,20,route,6.218013963662088
0,20,source_once,6.217040351592004
0,20,endpoint_once,6.218013963662088
0,30,route,6.218013963662088
0,30,source_once,6.19435693975538
0,30,endpoint_once,6.218013963662088
1,4,route,5.769198086112738
1,4,source_once,5.769198086112738
1,4,endpoint_once,5.769198086112738
1,6,route,5.769198086112738
1,6,source_once,5.769198086112738
1,6,endpoint_once,5.769198086112738
1,8,route,5.769198086112738
1,8,source_once,5.769198086112738
1,8,endpoint_once,5.769198086112738
1,10,route,5.769198086112738
1,10,source_once,5.769198086112738
1,10,endpoint_once,5.769198086112738
1,15,route,5.769198086112738
1,15,source_once,5.769198086112738
1,15,endpoint_once,5.769198086112738
1,20,route,5.769198086112738
1,20,source_once,5.769198086112738
1,20,endpoint_once,5.769198086112738
1,30,route,5.769198086112738
1,30,source_once,5.7091699205338955
1,30,endpoint_once,5.769198086112738
2,4,route,5.896497569978237
2,4,source_once,5.896497569978237
2,4,endpoint_once,5.896497569978237
2,6,route,5.896497569978237
2,6,source_once,5.896497569978237
2,6,endpoint_once,5.896497569978237
2,8,route,5.896497569978237
2,8,source_once,5.896497569978237
2,8,endpoint_once,5.896497569978237
2,10,route,5.896497569978237
2,10,source_once,5.896497569978237
2,10,endpoint_once,5.896497569978237
2,15,route,5.896497569978237
2,15,source_once,5.896497569978237
2,15,endpoint_once,5.896497569978237
2,20,route,5.896497569978237
2,20,source_once,5.896497569978237
2,20,endpoint_once,5.896497569978237
2,30,route,5.896497569978237
2,30,source_once,5.896497569978237
2,30,endpoint_once,5.896497569978237
3,4,route,6.036953939124942
3,4,source_once,6.036953939124942
3,4,endpoint_once,6.036953939124942
3,6,route,6.036953939124942
3,6,source_once,6.036953939124942
3,6,endpoint_once,6.036953939124942
3,8,route,6.036953939124942
3,8,source_once,6.036953939124942
3,8,endpoint_once,6.036953939124942
3,10,route,6.036953939124942
3,10,source_once,6.036953939124942
3,10,endpoint_once,6.036953939124942
3,15,route,6.036953939124942
