host,dataset,arm,seed,selected_step,mean,nll,accuracy,decoder_seconds,training_seconds,parameters
results_am,uniform100,random-aware,12031,11000,11.302516877651215,1.6501257273383076,0.67578125,1.9206785541027784,91.54406388336793,58306
results_am,cluster100,random-aware,12031,11000,5.1688926592469215,1.5496245459443043,0.5859375,0.9548363774083555,91.54406388336793,58306
results_am,uniform200,random-aware,12031,11000,16.951635129749775,1.658268684143717,0.6171875,1.855327992234379,91.54406388336793,58306
results_am,cluster200,random-aware,12031,11000,7.757135722786188,1.6364559464587665,0.5078125,1.8835328510031104,91.54406388336793,58306
results_am,uniform100,random-aware,12037,12000,11.242702037096024,1.6320531817985673,0.69140625,1.8536008577793837,90.0357849211432,58306
results_am,cluster100,random-aware,12037,12000,5.144169369712472,1.5357481178524477,0.5911458134651184,0.936260798946023,90.0357849211432,58306
results_am,uniform200,random-aware,12037,12000,16.874367527663708,1.614818668400724,0.6015625,1.8738100440241396,90.0357849211432,58306
results_am,cluster200,random-aware,12037,12000,7.91194861382246,1.5246586205096513,0.5260416865348816,2.3676690668798983,90.0357849211432,58306
results_am,uniform100,random-aware,12041,10000,11.259486962109804,1.686665274288701,0.6731770634651184,2.6125571075826883,86.53035406861454,58306
results_am,cluster100,random-aware,12041,10000,5.062169708311558,1.530340138446274,0.5859375,0.9407752039842308,86.53035406861454,58306
results_am,uniform200,random-aware,12041,10000,16.806271240115166,1.6421417313608953,0.6067708134651184,1.895409509073943,86.53035406861454,58306
results_am,cluster200,random-aware,12041,10000,7.674565386027098,1.6928797247711127,0.5,1.8615445513278246,86.53035406861454,58306
results_am,uniform100,random-blind,12031,6000,11.60436387360096,1.8226147782276525,0.66015625,1.9104234403930604,87.44169345451519,58306
results_am,cluster100,random-blind,12031,6000,5.236096065491438,1.6101694719772712,0.5677083134651184,1.7388964602723718,87.44169345451519,58306
results_am,uniform200,random-blind,12031,6000,17.08920217305422,1.7912872549314083,0.5755208134651184,2.230582525022328,87.44169345451519,58306
results_am,cluster200,random-blind,12031,6000,8.018205262720585,1.7597251942660697,0.4661458432674408,1.9087519911117852,87.44169345451519,58306
results_am,uniform100,random-blind,12037,12000,11.779332179576159,1.7778205739996216,0.6705729365348816,1.8784742038697004,81.16473860433325,58306
results_am,cluster100,random-blind,12037,12000,5.512626169249415,1.5575727260578234,0.5677083134651184,0.9506671749986708,81.16473860433325,58306
results_am,uniform200,random-blind,12037,12000,17.72831130027771,1.637142331611086,0.6015625,1.878487491980195,81.16473860433325,58306
results_am,cluster200,random-blind,12037,12000,8.48364932090044,1.586777804202424,0.5234375,1.950275521259755,81.16473860433325,58306
results_am,uniform100,random-blind,12041,7000,11.629835348576307,1.7458086297789706,0.6549479365348816,1.9453584607690573,84.62829514732584,58306
results_am,cluster100,random-blind,12041,7000,5.244423773139715,1.5941878188222454,0.5572916865348816,0.9624909181147814,84.62829514732584,58306
results_am,uniform200,random-blind,12041,7000,17.151543155312538,1.763429658171532,0.6171875,3.023936445824802,84.62829514732584,58306
results_am,cluster200,random-blind,12041,7000,7.955685406923294,1.7615067170881762,0.4791666567325592,1.9513222509995103,84.62829514732584,58306
results_am,uniform100,route-aware,12031,10000,8.144248494878411,0.24477108706305348,0.92578125,1.8181696450337768,93.53405668772757,58306
results_am,cluster100,route-aware,12031,10000,3.8193437941372395,0.7147443542147539,0.7916666865348816,0.9952419730834663,93.53405668772757,58306
results_am,uniform200,route-aware,12031,10000,11.55390302091837,0.35227777699394763,0.8932291865348816,1.7233487539924681,93.53405668772757,58306
results_am,cluster200,route-aware,12031,10000,4.986080147325993,0.8373088689415885,0.7890625,1.720219552051276,93.53405668772757,58306
results_am,uniform100,route-aware,12037,10000,8.134634029120207,0.2444263266885677,0.9296875,2.0736219407990575,93.3300070813857,58306
results_am,cluster100,route-aware,12037,10000,3.764777375385165,0.7500835236632942,0.7942708134651184,1.6469865893013775,93.3300070813857,58306
results_am,uniform200,route-aware,12037,10000,11.586048237979412,0.35360601329938146,0.8776041865348816,1.7774521969258785,93.3300070813857,58306
results_am,cluster200,route-aware,12037,10000,4.984664261341095,0.7925200663100753,0.7890625,1.758217753842473,93.3300070813857,58306
results_am,uniform100,route-aware,12041,11000,8.164648029953241,0.2277618266142285,0.9348958134651184,1.7541166311129928,89.23106619948521,58306
results_am,cluster100,route-aware,12041,11000,3.78826423548162,0.7302902462962765,0.7994791865348816,0.8841490121558309,89.23106619948521,58306
results_am,uniform200,route-aware,12041,11000,11.548892550170422,0.3491339583877247,0.9010416865348816,1.7210070258006454,89.23106619948521,58306
results_am,cluster200,route-aware,12041,11000,4.997971590608358,0.8280210257861143,0.7890625,1.7227369640022516,89.23106619948521,58306
results_am,uniform100,route-blind,12031,11000,8.162274131551385,0.2591809661096151,0.9309895634651184,1.8384260488674045,85.93746254779398,58306
results_am,cluster100,route-blind,12031,11000,3.791501274332404,0.7697812514626502,0.7708333134651184,0.8720516553148627,85.93746254779398,58306
